,id,operations,order,full
99,97,"[[8, 1, 5, 7, 6, 4], [9, 4, 3], [1, 3, 2, 4, 6]]",[8. 1. 5. 7. 6. 9. 3. 1. 2. 4.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [9.0, 3.0], [1.0, 2.0, 4.0]]"
100,98,"[[1, 3, 2, 4, 9, 6], [5, 1, 8, 2], [1, 5, 7, 6, 4]]",[1. 3. 2. 4. 9. 8. 1. 5. 7. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0], [7.0, 6.0]]"
101,99,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 6, 4], [5, 1, 8, 2]]",[1. 3. 2. 4. 9. 5. 7. 6. 1. 8.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [8.0]]"
102,100,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [1, 5, 7, 2]]",[1. 3. 4. 9. 8. 5. 7. 6. 1. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0], [2.0]]"
103,101,"[[1, 3, 4, 9, 6], [1, 5, 7, 2], [8, 1, 5, 7, 6, 4]]",[3. 9. 1. 5. 7. 2. 8. 1. 6. 4.],"[[3.0, 9.0, 1.0], [5.0, 7.0, 2.0], [8.0, 1.0, 6.0, 4.0]]"
104,102,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 1, 8, 2]]",[1. 3. 4. 9. 8. 5. 7. 6. 1. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0], [2.0]]"
105,103,"[[1, 3, 4, 9, 6], [5, 1, 8, 2], [8, 1, 5, 7, 6, 4]]",[1. 3. 4. 9. 8. 1. 2. 5. 7. 6.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0], [7.0, 6.0]]"
106,104,"[[1, 5, 7, 6, 2], [8, 1, 3, 2, 4, 6], [1, 3, 2, 4, 9, 6]]",[1. 5. 7. 6. 8. 1. 3. 2. 4. 9.],"[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0]]"
107,105,"[[1, 5, 7, 6, 2], [1, 3, 2, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 6. 3. 2. 4. 9. 1. 8.],"[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0], [8.0]]"
108,106,"[[1, 3, 2, 4, 9, 6], [5, 6, 1, 8, 4], [1, 5, 7, 2]]",[3. 9. 1. 5. 6. 8. 4. 7. 1. 2.],"[[3.0, 9.0, 1.0], [5.0, 6.0, 8.0, 4.0], [7.0, 1.0, 2.0]]"
109,107,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 2], [5, 6, 1, 8, 4]]",[1. 3. 2. 4. 9. 5. 7. 1. 6. 8.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0], [6.0, 8.0]]"
110,108,"[[8, 1, 3, 2, 4, 6], [1, 5, 7, 4], [1, 3, 2, 4, 9, 6]]",[8. 1. 3. 2. 5. 7. 1. 4. 9. 6.],"[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0], [9.0, 6.0]]"
111,109,"[[1, 5, 7, 4], [8, 1, 3, 2, 4, 6], [1, 3, 2, 4, 9, 6]]",[1. 5. 7. 8. 1. 3. 2. 4. 9. 6.],"[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0, 6.0]]"
112,110,"[[1, 5, 7, 4], [1, 3, 2, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 3. 2. 4. 9. 1. 8. 6.],"[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0], [8.0, 6.0]]"
113,111,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 4], [8, 1, 3, 2, 4, 6]]",[1. 3. 2. 4. 9. 5. 7. 1. 8. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0], [8.0, 6.0]]"
114,112,"[[1, 5, 7, 6, 4], [8, 1, 3, 2, 4, 6], [1, 3, 2, 4, 9, 6]]",[1. 5. 7. 6. 8. 1. 3. 2. 4. 9.],"[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0]]"
115,113,"[[1, 5, 7, 6, 4], [1, 3, 2, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 6. 3. 2. 4. 9. 1. 8.],"[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0], [8.0]]"
116,114,"[[1, 3, 4, 9, 6], [5, 6, 1, 8, 4], [1, 5, 7, 6, 2]]",[1. 3. 4. 9. 8. 1. 5. 7. 6. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0], [7.0, 6.0, 2.0]]"
117,115,"[[1, 3, 4, 9, 6], [1, 5, 7, 6, 2], [5, 6, 1, 8, 4]]",[1. 3. 4. 9. 5. 7. 6. 2. 1. 8.],"[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 2.0, 1.0], [8.0]]"
118,116,"[[1, 3, 2, 4, 9, 6], [5, 1, 8, 2], [1, 5, 7, 6, 2]]",[1. 3. 2. 4. 9. 8. 1. 5. 7. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0], [7.0, 6.0]]"
119,117,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 6, 2], [5, 1, 8, 2]]",[1. 3. 2. 4. 9. 5. 7. 6. 1. 8.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [8.0]]"
120,118,"[[1, 5, 7, 6, 4], [8, 1, 3, 2, 6], [1, 3, 4, 9, 6]]",[1. 5. 7. 6. 8. 3. 2. 1. 4. 9.],"[[1.0, 5.0, 7.0, 6.0], [8.0, 3.0, 2.0, 1.0], [4.0, 9.0]]"
121,119,"[[1, 5, 7, 6, 4], [1, 3, 4, 9, 6], [8, 1, 3, 2, 6]]",[1. 5. 7. 6. 3. 4. 9. 1. 8. 2.],"[[1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [8.0, 2.0]]"
122,120,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 6, 1, 8, 2]]",[8. 1. 3. 4. 9. 5. 7. 6. 1. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [2.0]]"
123,121,"[[8, 1, 3, 4, 9, 6], [5, 6, 1, 8, 2], [8, 1, 5, 7, 6, 4]]",[8. 1. 3. 4. 9. 2. 1. 5. 7. 6.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0], [7.0, 6.0]]"
124,122,"[[8, 1, 5, 7, 6, 4], [8, 1, 3, 2, 4, 6], [8, 1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0], [9.0]]"
125,123,"[[8, 1, 5, 7, 6, 4], [8, 1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[8. 1. 5. 7. 6. 3. 4. 9. 1. 2.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [2.0]]"
126,124,"[[1, 5, 7, 6, 4], [8, 1, 3, 2, 4, 6], [1, 3, 4, 9, 6]]",[1. 5. 7. 6. 8. 1. 3. 2. 4. 9.],"[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0]]"
127,125,"[[1, 5, 7, 6, 4], [1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 6. 3. 4. 9. 1. 8. 2.],"[[1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [8.0, 2.0]]"
128,126,"[[8, 1, 3, 4, 9, 6], [5, 1, 8, 2], [8, 1, 5, 7, 4]]",[8. 3. 9. 6. 5. 1. 2. 7. 1. 4.],"[[8.0, 3.0, 9.0, 6.0], [5.0, 1.0, 2.0], [7.0, 1.0, 4.0]]"
129,127,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 6, 1, 2]]",[1. 3. 4. 9. 8. 5. 7. 6. 1. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0], [2.0]]"
130,128,"[[1, 3, 4, 9, 6], [5, 6, 1, 2], [8, 1, 5, 7, 6, 4]]",[3. 9. 1. 5. 6. 2. 8. 1. 7. 4.],"[[3.0, 9.0, 1.0], [5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]"
131,129,"[[1, 3, 2, 4, 9, 6], [5, 6, 1, 8, 2], [1, 5, 7, 6, 2]]",[1. 3. 2. 4. 9. 8. 1. 5. 7. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0], [7.0, 6.0]]"
132,130,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 6, 2], [5, 6, 1, 8, 2]]",[1. 3. 2. 4. 9. 5. 7. 6. 1. 8.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [8.0]]"
133,131,"[[8, 1, 3, 4, 9, 6], [5, 6, 1, 8, 2], [1, 5, 7, 4]]",[8. 3. 9. 1. 5. 6. 2. 7. 1. 4.],"[[8.0, 3.0, 9.0, 1.0], [5.0, 6.0, 2.0], [7.0, 1.0, 4.0]]"
134,132,"[[8, 1, 3, 4, 9, 6], [1, 5, 7, 4], [5, 6, 1, 8, 2]]",[8. 1. 3. 4. 9. 5. 7. 1. 6. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0], [6.0, 2.0]]"
135,133,"[[8, 1, 5, 7, 4], [9, 4, 3], [1, 3, 2, 4, 6]]",[8. 1. 5. 7. 9. 3. 1. 2. 4. 6.],"[[8.0, 1.0, 5.0, 7.0], [9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]"
136,134,"[[9, 4, 3], [5, 6, 1, 2], [8, 1, 5, 7, 6, 4]]",[9. 3. 1. 2. 8. 1. 5. 7. 6. 4.],"[[9.0, 3.0], [1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]"
137,135,"[[8, 1, 5, 7, 6, 2], [8, 1, 3, 2, 4, 6], [9, 4, 3]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0], [9.0]]"
138,136,"[[8, 1, 5, 7, 6, 2], [9, 4, 3], [8, 1, 3, 2, 4, 6]]",[8. 1. 5. 7. 6. 9. 3. 1. 2. 4.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [9.0, 3.0], [1.0, 2.0, 4.0]]"
139,137,"[[9, 4, 3], [8, 1, 5, 7, 6, 2], [8, 1, 3, 2, 4, 6]]",[9. 3. 1. 5. 7. 6. 2. 8. 1. 4.],"[[9.0, 3.0], [1.0, 5.0, 7.0, 6.0, 2.0, 8.0, 1.0], [4.0]]"
140,138,"[[8, 1, 5, 7, 6, 4], [1, 3, 2, 6], [8, 1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0], [4.0, 9.0]]"
141,139,"[[8, 1, 5, 7, 6, 4], [8, 1, 3, 4, 9, 6], [1, 3, 2, 6]]",[8. 1. 5. 7. 6. 3. 4. 9. 1. 2.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [2.0]]"
142,140,"[[9, 4, 3], [8, 1, 5, 7, 6, 4], [8, 1, 2]]",[9. 3. 1. 5. 7. 6. 4. 8. 1. 2.],"[[9.0, 3.0], [1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0], [2.0]]"
143,141,"[[9, 4, 3], [8, 1, 2], [8, 1, 5, 7, 6, 4]]",[9. 3. 1. 2. 8. 1. 5. 7. 6. 4.],"[[9.0, 3.0], [1.0, 2.0, 8.0, 1.0], [5.0, 7.0, 6.0, 4.0]]"
144,142,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [8, 1, 5, 7, 6, 2]]",[8. 1. 3. 4. 9. 5. 7. 6. 1. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [2.0]]"
145,143,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 2], [8, 1, 5, 7, 6, 4]]",[8. 1. 3. 4. 9. 1. 5. 7. 6. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0], [5.0, 7.0, 6.0, 2.0], []]"
146,144,"[[9, 4, 3], [1, 5, 7, 2], [8, 1, 5, 7, 6, 4]]",[9. 3. 1. 5. 7. 2. 8. 1. 6. 4.],"[[9.0, 3.0], [1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 6.0, 4.0]]"
147,145,"[[1, 5, 7, 6, 4], [8, 1, 3, 2, 4, 6], [8, 1, 3, 4, 9, 6]]",[1. 5. 7. 6. 8. 1. 3. 2. 4. 9.],"[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0]]"
148,146,"[[1, 5, 7, 6, 4], [8, 1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 6. 8. 1. 9. 3. 2. 4.],"[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 9.0, 3.0], [2.0, 4.0]]"
149,147,"[[8, 1, 5, 7, 6, 2], [8, 1, 3, 2, 4, 6], [1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0], [9.0]]"
150,148,"[[8, 1, 5, 7, 6, 2], [1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[8. 1. 5. 7. 6. 3. 4. 9. 1. 2.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [2.0]]"
151,149,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 1, 2]]",[1. 3. 4. 9. 8. 5. 7. 6. 1. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0], [2.0]]"
152,150,"[[1, 3, 4, 9, 6], [5, 1, 2], [8, 1, 5, 7, 6, 4]]",[3. 9. 1. 5. 2. 8. 1. 7. 6. 4.],"[[3.0, 9.0, 1.0], [5.0, 2.0], [8.0, 1.0, 7.0, 6.0, 4.0]]"
153,151,"[[8, 1, 3, 2, 4, 6], [8, 1, 5, 7, 4], [8, 1, 3, 4, 9, 6]]",[8. 1. 3. 2. 5. 7. 1. 4. 9. 6.],"[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0], [9.0, 6.0]]"
154,152,"[[8, 1, 5, 7, 4], [8, 1, 3, 2, 4, 6], [8, 1, 3, 4, 9, 6]]",[8. 1. 5. 7. 3. 2. 1. 4. 9. 6.],"[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0], [9.0, 6.0]]"
155,153,"[[8, 1, 5, 7, 4], [8, 1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[8. 1. 5. 7. 3. 4. 9. 1. 2. 6.],"[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0], [2.0, 6.0]]"
156,154,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 4], [8, 1, 3, 2, 4, 6]]",[8. 1. 3. 4. 9. 5. 7. 1. 2. 6.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0], [2.0, 6.0]]"
157,155,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [1, 5, 7, 6, 2]]",[8. 1. 3. 4. 9. 5. 7. 6. 1. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [2.0]]"
158,156,"[[8, 1, 3, 4, 9, 6], [1, 5, 7, 6, 2], [8, 1, 5, 7, 6, 4]]",[8. 1. 3. 4. 9. 1. 5. 7. 6. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0], [5.0, 7.0, 6.0, 2.0], []]"
159,157,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 1, 8, 2]]",[8. 1. 3. 4. 9. 5. 7. 6. 1. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [2.0]]"
160,158,"[[8, 1, 3, 4, 9, 6], [5, 1, 8, 2], [8, 1, 5, 7, 6, 4]]",[8. 1. 3. 4. 9. 2. 1. 5. 7. 6.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0], [7.0, 6.0]]"
161,159,"[[8, 1, 5, 7, 6, 4], [1, 3, 2, 4, 6], [1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0], [9.0]]"
162,160,"[[8, 1, 5, 7, 6, 4], [1, 3, 4, 9, 6], [1, 3, 2, 4, 6]]",[8. 1. 5. 7. 6. 3. 4. 9. 1. 2.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [2.0]]"
163,161,"[[1, 3, 2, 4, 9, 6], [5, 6, 1, 8, 2], [5, 6, 7]]",[1. 3. 2. 4. 9. 5. 1. 8. 6. 7.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 1.0, 8.0, 6.0], [7.0]]"
164,162,"[[1, 3, 2, 4, 9, 6], [5, 6, 7], [5, 6, 1, 8, 2]]",[1. 3. 2. 4. 9. 5. 7. 6. 1. 8.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0], [1.0, 8.0]]"
165,163,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 4], [1, 5, 7, 6, 2]]",[1. 3. 4. 9. 8. 1. 5. 7. 6. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0], [6.0, 2.0]]"
166,164,"[[1, 3, 4, 9, 6], [1, 5, 7, 6, 2], [8, 1, 5, 7, 4]]",[3. 9. 1. 5. 7. 6. 2. 8. 1. 4.],"[[3.0, 9.0, 1.0], [5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]"
167,165,"[[1, 3, 4, 9, 6], [1, 5, 7, 2], [5, 6, 1, 8, 4]]",[1. 3. 4. 9. 7. 1. 2. 5. 6. 8.],"[[1.0, 3.0, 4.0, 9.0], [7.0, 1.0, 2.0, 5.0], [6.0, 8.0]]"
168,166,"[[1, 3, 4, 9, 6], [5, 6, 1, 8, 4], [1, 5, 7, 2]]",[3. 9. 1. 5. 6. 8. 4. 7. 1. 2.],"[[3.0, 9.0, 1.0], [5.0, 6.0, 8.0, 4.0], [7.0, 1.0, 2.0]]"
169,167,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [8, 1, 5, 7, 2]]",[8. 1. 3. 4. 9. 5. 7. 6. 1. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [2.0]]"
170,168,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 2], [8, 1, 5, 7, 6, 4]]",[8. 1. 3. 4. 9. 5. 1. 2. 7. 6.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 2.0, 7.0], [6.0]]"
171,169,"[[9, 4, 3], [8, 1, 5, 7, 4], [8, 1, 3, 2, 6]]",[9. 3. 1. 5. 7. 4. 8. 1. 2. 6.],"[[9.0, 3.0], [1.0, 5.0, 7.0, 4.0, 8.0, 1.0], [2.0, 6.0]]"
172,170,"[[9, 4, 3], [1, 5, 7, 6, 2], [5, 1, 8, 4]]",[9. 3. 1. 5. 7. 6. 2. 1. 8. 4.],"[[9.0, 3.0], [1.0, 5.0, 7.0, 6.0, 2.0, 1.0], [8.0, 4.0]]"
173,171,"[[9, 4, 3], [5, 1, 8, 4], [1, 5, 7, 6, 2]]",[9. 3. 1. 8. 4. 5. 7. 6. 2.],"[[9.0, 3.0], [1.0, 8.0, 4.0, 5.0], [7.0, 6.0, 2.0]]"
174,172,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 4], [5, 6, 1, 2]]",[1. 3. 4. 9. 8. 1. 5. 7. 6. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0], [6.0, 2.0]]"
175,173,"[[1, 3, 4, 9, 6], [5, 6, 1, 2], [8, 1, 5, 7, 4]]",[3. 9. 1. 5. 6. 2. 8. 1. 7. 4.],"[[3.0, 9.0, 1.0], [5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]"
176,174,"[[9, 4, 3], [1, 2], [8, 1, 5, 7, 6, 4]]",[9. 3. 1. 2. 8. 1. 5. 7. 6. 4.],"[[9.0, 3.0], [1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]"
177,175,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 6, 1, 8, 2]]",[1. 3. 4. 9. 8. 5. 7. 6. 1. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0], [2.0]]"
178,176,"[[1, 3, 4, 9, 6], [5, 6, 1, 8, 2], [8, 1, 5, 7, 6, 4]]",[1. 3. 4. 9. 8. 1. 2. 5. 7. 6.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0], [7.0, 6.0]]"
179,177,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 4], [5, 6, 1, 8, 2]]",[1. 3. 2. 4. 9. 5. 7. 1. 6. 8.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0], [6.0, 8.0]]"
180,178,"[[1, 3, 2, 4, 9, 6], [5, 6, 1, 8, 2], [1, 5, 7, 4]]",[3. 9. 1. 5. 6. 8. 2. 7. 1. 4.],"[[3.0, 9.0, 1.0], [5.0, 6.0, 8.0, 2.0], [7.0, 1.0, 4.0]]"
181,179,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 2], [3, 1, 8, 6]]",[1. 3. 2. 4. 9. 5. 7. 1. 8. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0], [8.0, 6.0]]"
182,180,"[[1, 5, 7, 2], [1, 3, 2, 4, 9, 6], [3, 1, 8, 6]]",[1. 5. 7. 3. 2. 4. 9. 1. 8. 6.],"[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0], [8.0, 6.0]]"
183,181,"[[1, 5, 7, 2], [3, 1, 8, 6], [1, 3, 2, 4, 9, 6]]",[1. 5. 7. 3. 8. 1. 2. 4. 9. 6.],"[[1.0, 5.0, 7.0], [3.0, 8.0, 1.0], [2.0, 4.0, 9.0, 6.0]]"
184,182,"[[3, 1, 8, 6], [1, 5, 7, 2], [1, 3, 2, 4, 9, 6]]",[1. 8. 5. 7. 1. 3. 2. 4. 9. 6.],"[[1.0, 8.0], [5.0, 7.0, 1.0], [3.0, 2.0, 4.0, 9.0, 6.0]]"
185,183,"[[2, 3], [5, 6, 1, 8, 2], [9, 4, 1], [5, 6, 7]]",[3. 1. 8. 2. 9. 4. 1. 5. 6. 7.],"[[3.0], [1.0, 8.0, 2.0], [9.0, 4.0, 1.0], [5.0, 6.0, 7.0]]"
186,184,"[[2, 3], [5, 6, 1, 8, 2], [5, 6, 7], [9, 4, 1]]",[3. 1. 8. 2. 5. 6. 7. 9. 4. 1.],"[[3.0], [1.0, 8.0, 2.0, 5.0, 6.0], [7.0], [9.0, 4.0, 1.0]]"
187,185,"[[8, 1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [5, 1, 2]]",[8. 1. 3. 4. 9. 5. 7. 6. 1. 2.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [2.0]]"
188,186,"[[8, 1, 3, 4, 9, 6], [5, 1, 2], [8, 1, 5, 7, 6, 4]]",[8. 1. 3. 4. 9. 2. 1. 5. 7. 6.],"[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0], [7.0, 6.0]]"
189,187,"[[1, 3, 4, 9, 6], [1, 5, 7, 2], [8, 1, 5, 7, 4]]",[3. 9. 6. 5. 1. 2. 8. 1. 7. 4.],"[[3.0, 9.0, 6.0], [5.0, 1.0, 2.0], [8.0, 1.0, 7.0, 4.0]]"
190,188,"[[1, 3, 4, 9, 6], [8, 1, 5, 7, 6, 4], [1, 5, 7, 6, 2]]",[1. 3. 4. 9. 8. 5. 7. 6. 1. 2.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0], [2.0]]"
191,189,"[[1, 3, 4, 9, 6], [1, 5, 7, 6, 2], [8, 1, 5, 7, 6, 4]]",[3. 9. 1. 5. 7. 6. 2. 8. 1. 4.],"[[3.0, 9.0, 1.0], [5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]"
192,190,"[[1, 3, 2, 4, 9, 6], [1, 5, 7, 4], [8, 1, 3, 4, 6]]",[1. 3. 2. 4. 9. 5. 7. 1. 8. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0], [8.0, 6.0]]"
193,191,"[[1, 5, 7, 4], [1, 3, 2, 4, 9, 6], [8, 1, 3, 4, 6]]",[1. 5. 7. 3. 2. 4. 9. 1. 8. 6.],"[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0], [8.0, 6.0]]"
194,192,"[[1, 5, 7, 4], [8, 1, 3, 4, 6], [1, 3, 2, 4, 9, 6]]",[1. 5. 7. 8. 1. 3. 2. 4. 9. 6.],"[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0], [2.0, 4.0, 9.0, 6.0]]"
195,193,"[[8, 1, 3, 4, 6], [1, 5, 7, 4], [1, 3, 2, 4, 9, 6]]",[8. 1. 3. 4. 5. 7. 1. 2. 9. 6.],"[[8.0, 1.0, 3.0, 4.0], [5.0, 7.0, 1.0], [2.0, 9.0, 6.0]]"
196,194,"[[1, 3, 4, 9, 6], [1, 5, 7, 6, 4], [5, 1, 8, 2]]",[1. 3. 4. 9. 5. 7. 6. 1. 8. 2.],"[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [8.0, 2.0]]"
197,195,"[[1, 3, 4, 9, 6], [5, 1, 8, 2], [1, 5, 7, 6, 4]]",[1. 3. 4. 9. 8. 1. 2. 5. 7. 6.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0], [7.0, 6.0]]"
198,196,"[[8, 1, 5, 7, 6, 2], [8, 1, 3, 2, 4, 6], [8, 1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0], [9.0]]"
